Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.0069E-7,0.000010069,0.00018397,1,0,0
1.72372E-7,0.000040168,0.000314918,0.99922899,0,0
2.39926E-7,0.00006416,0.000438312,0.998843485,0,0
2.5302E-7,0.000113553,0.000462226,0.998072475,0,0
3.61628E-7,0.000278775,0.000660571,0.99614495,0,0
4.81272E-7,0.000502682,0.000879022,0.994217425,0,0
6.54662E-7,0.001031395,0.001195523,0.99074788,0,0
9.74323E-7,0.002502802,0.001778758,0.98380879,0,0
1.35843E-6,0.005129289,0.002479127,0.975327679,0,0
1.84816E-6,0.010103383,0.00337137,0.963377024,0,0
3.87682E-6,0.025314359,0.007058924,0.941788743,0,0
7.52485E-6,0.050589088,0.013655755,0.924826523,0,0
1.50181E-5,0.100513276,0.027068837,0.908249807,0,0
2.2541E-5,0.202123424,0.040351538,0.887818042,0,0
2.80098E-5,0.302423573,0.049893546,0.872397841,0,0
3.21205E-5,0.401731277,0.05700326,0.859676176,0,0
3.57207E-5,0.502980711,0.063186447,0.848111025,0,0
3.9952E-5,0.600502081,0.070401666,0.838087895,0,0
4.28965E-5,0.700408624,0.075389836,0.828835775,0,0
4.4761E-5,0.753369559,0.078534548,0.824209715,0,0
4.73459E-5,0.803979843,0.082876545,0.81996916,0,0
5.21383E-5,0.904164735,0.090872842,0.812259059,0,0
5.51106E-5,1.000632974,0.095797015,0.805319969,0,0
5.98999E-5,1.10468663,0.103675485,0.798380879,0,0
6.31508E-5,1.202894053,0.10898401,0.792212799,0,0
6.77919E-5,1.301343842,0.116508305,0.786430224,0,0
7.28013E-5,1.406921139,0.124558458,0.780647648,0,0
7.52227E-5,1.503206158,0.128423308,0.775636083,0,0
8.43809E-5,1.7560683,0.14288732,0.763299923,0.008547009,0
9.24381E-5,2.004962667,0.155413824,0.752505783,0.008547009,0
1.01401E-4,2.25597409,0.169133454,0.742482652,0.008547009,0
1.10518E-4,2.509945867,0.182859907,0.733230532,0.008547009,0
1.1785E-4,2.76006199,0.193734496,0.724749422,0.008547009,0
1.24913E-4,3.002077976,0.204073683,0.717039322,0.008547009,0
1.33456E-4,3.260779786,0.216401741,0.709329221,0.008547009,0
1.41402E-4,3.509903842,0.227697504,0.702390131,0.008547009,0
1.48948E-4,3.757200473,0.238272267,0.695836546,0.008547009,0
1.54138E-4,4.000329917,0.245462659,0.689668466,0.008547009,0
1.64255E-4,4.254338795,0.259283399,0.683500386,0.008547009,0
1.72537E-4,4.506261731,0.270407864,0.67771781,0.008547009,0
1.77618E-4,4.75259451,0.277149912,0.67232074,0.008547009,0
1.84067E-4,5.006452329,0.28561818,0.66692367,0.008547009,0
1.93871E-4,5.253866755,0.298302501,0.661912105,0.008547009,0
1.99158E-4,5.510128688,0.305048325,0.65690054,0.017094017,0
2.06187E-4,5.754048068,0.31391762,0.65227448,0.017094017,0
2.10586E-4,6.004618112,0.319410261,0.647648419,0.017094017,0
2.14791E-4,6.259971567,0.324619811,0.643022359,0.017094017,0
2.17292E-4,6.519246774,0.327699524,0.638396299,0.017094017,0
2.19484E-4,6.759690659,0.330386595,0.634155744,0.025641026,0
2.22387E-4,7.002752519,0.333929465,0.629915189,0.025641026,0
2.2412E-4,7.270733565,0.336034619,0.625289129,0.025641026,0
2.25724E-4,7.518181865,0.337977919,0.621048574,0.025641026,0
2.3043E-4,7.769065694,0.343646656,0.616808019,0.025641026,0
2.33683E-4,8.001250678,0.347536471,0.612952968,0.025641026,0
2.36413E-4,8.260010283,0.350782805,0.608712413,0.034188034,0
2.40758E-4,8.522620043,0.355917263,0.604471858,0.034188034,0
2.44114E-4,8.765189611,0.359854354,0.600616808,0.034188034,0
2.46349E-4,9.010695283,0.362463547,0.596761758,0.034188034,0
2.48287E-4,9.258043879,0.364717522,0.592906708,0.034188034,0
2.52562E-4,9.509577818,0.369659772,0.589051658,0.034188034,0
2.54889E-4,9.763471739,0.372334659,0.585196608,0.034188034,0
2.57604E-4,10.019493481,0.375441009,0.581341557,0.034188034,0
2.60033E-4,10.252509064,0.378206874,0.577872012,0.034188034,0
2.6302E-4,10.513726823,0.38159103,0.574016962,0.034188034,0
2.65848E-4,10.75167986,0.384778999,0.570547417,0.034188034,0
2.68845E-4,11.019270688,0.388138343,0.566692367,0.034188034,0
2.70488E-4,11.262000856,0.389973298,0.563222822,0.034188034,0
2.75425E-4,11.507862119,0.395450874,0.559753277,0.034188034,0
2.77735E-4,11.756730352,0.397998187,0.556283732,0.042735043,0
2.80133E-4,12.007777918,0.400629797,0.552814187,0.042735043,0
2.83222E-4,12.26152738,0.404003042,0.549344641,0.042735043,0
2.8615E-4,12.517687534,0.407183908,0.545875096,0.042735043,0
2.9062E-4,12.777363663,0.412006205,0.542405551,0.042735043,0
2.93483E-4,13.011044316,0.415074206,0.539321511,0.042735043,0
2.96744E-4,13.276616362,0.418548819,0.535851966,0.051282051,0
2.99443E-4,13.515260035,0.421409738,0.532767926,0.05982906,0
3.00978E-4,13.755683904,0.42303034,0.529683886,0.05982906,0
3.04283E-4,14.028088223,0.42650428,0.526214341,0.05982906,0
3.06826E-4,14.272606799,0.429162534,0.523130301,0.05982906,0
3.10753E-4,14.520042237,0.433243731,0.520046261,0.05982906,0
3.14025E-4,14.769986537,0.436622192,0.516962221,0.068376068,0
3.16837E-4,15.02264855,0.439510147,0.51387818,0.068376068,0
3.21523E-4,15.277967176,0.444288522,0.51079414,0.068376068,0
3.25821E-4,15.50524699,0.448635478,0.508095605,0.068376068,0
3.30229E-4,15.767654226,0.453059163,0.505011565,0.094017094,0
3.33493E-4,16.000157891,0.456310985,0.50231303,0.102564103,0
3.37256E-4,16.268895891,0.46003688,0.49922899,0.102564103,0
3.40187E-4,16.506343699,0.462920918,0.496530455,0.102564103,0
3.43502E-4,16.78014661,0.466164068,0.493446415,0.111111111,0
3.47224E-4,17.022059601,0.46978247,0.49074788,0.111111111,0
3.49879E-4,17.265977001,0.472349302,0.488049345,0.111111111,0
3.50568E-4,17.51115409,0.473012517,0.48535081,0.111111111,0
3.54549E-4,17.757927419,0.476832454,0.482652274,0.11965812,0
3.58228E-4,18.007713537,0.480337119,0.479953739,0.11965812,0
3.59489E-4,18.259028491,0.481533782,0.477255204,0.11965812,0
3.62029E-4,18.511574702,0.483934498,0.474556669,0.136752137,0
3.66003E-4,18.766384955,0.487667789,0.471858134,0.153846154,0
3.68596E-4,19.023523626,0.490090313,0.469159599,0.153846154,0
3.71094E-4,19.282574151,0.492412407,0.466461064,0.153846154,0
3.72974E-4,19.505752034,0.494153064,0.464148034,0.153846154,0
3.78766E-4,19.769828875,0.499477987,0.461449499,0.153846154,0
3.80682E-4,20.035981556,0.50122778,0.458750964,0.153846154,0
3.84648E-4,20.265772742,0.504828762,0.456437934,0.162393162,0
3.87626E-4,20.536454214,0.507516282,0.453739399,0.170940171,0
