Crop,Long,Lat
Potato,78.0081,27.1767
Potato,79.9137,27.0514
Potato,78.3957,27.1592
Potato,78.0492,27.5981
Potato,79.584,27.3826
Potato,78.088,27.8974
Potato,79.0277,26.7829
Potato,79.0252,27.2282
Potato,81.8463,25.4358
Potato,79.9147,27.8753
Potato,79.1271,28.0311
Potato,81.1834,26.9268
Potato,80.125,27.3965
Potato,80.2321,26.4148
Potato,77.6737,27.4924
Potato,82.6837,25.7464
Potato,78.5718,28.5904
Potato,87.3811,22.408
Potato,87.0784,23.2313
Potato,88.3899,22.9012
Potato,88.7196,26.5215
Potato,87.8615,23.2324
Potato,89.4482,26.3452
Potato,85.4788,25.2622
Potato,85.1376,25.5941
Potato,85.355,25.6838
Potato,84.7381,25.7765
Potato,85.391,26.1197
Potato,84.3542,27.1543
Potato,85.7868,25.856
Potato,84.4366,26.4832
Potato,84.8568,26.6098
Potato,86.0712,26.3483
Potato,84.0167,25.0686
Potato,84.36,26.2243
Potato,86.1272,25.4182
Potato,84.5222,25.4662
Potato,86.9842,25.2425
Potato,85.8918,26.1542
Potato,86.5928,25.8774
Potato,87.5591,25.5541
Potato,86.4734,25.3708
Potato,71.7622,24.3455
Potato,73.7478,25.2235
Potato,75.8577,22.7196
Potato,76.273,23.4273
Potato,75.7885,23.1765
Potato,78.9382,22.0574
Potato,78.7378,23.8388
Potato,76.0534,22.9676
Potato,77.994,26.4947
Potato,80.3894,23.8343
Potato,75.5762,31.326
Potato,75.9115,31.5143
Potato,75.8573,30.901
Potato,75.4018,31.3723
Potato,74.8723,31.634
Potato,75.1734,30.823
Potato,76.8783,29.9695
Potato,77.2674,30.129
Potato,76.9905,29.6857
Potato,77.0151,28.9931
Potato,76.7821,30.3752
Potato,90.2667,26.4014
Potato,90.9821,26.3216
Potato,92.8577,26.6739
Potato,92.0959,26.746
Potato,92.0273,26.4523
Potato,92.6838,26.348
Potato,89.9743,26.0207
Potato,94.1514,27.2064
Potato,91.4411,26.4446
Potato,91.5984,26.3161
Potato,91.1761,26.6829
Potato,90.6939,26.5387
Potato,83.1649,22.9494
Potato,83.6109,23.6112
Potato,82.1409,22.0797
Potato,81.9339,19.2073
Potato,71.7622,24.3455
Potato,72.5714,23.0225
Potato,72.9289,22.5645
Potato,72.9933,23.8477
Potato,72.6369,23.2156
Potato,72.6847,22.7507
Potato,72.3693,23.588
Potato,73.1812,22.3072
Potato,70.0577,22.4707
Potato,69.8597,23.7337
Potato,86.2996,24.1913
Potato,85.3637,23.9925
Potato,85.3096,23.3441
Potato,86.1511,23.6693
Potato,84.5379,23.0441
Potato,73.8567,18.5204
Potato,74.0183,17.6805
Potato,77.5946,12.9716
Potato,74.4977,15.8497
Potato,75.772,13.3161
Potato,75.0078,15.4589
Potato,76.1004,13.0033
Potato,78.1291,13.1362
Potato,78.4354,30.7268
Potato,78.0322,30.3165
Potato,79.4542,29.3919
Potato,78.4325,30.3739
Potato,78.8383,29.8688
Potato,79.5603,30.2937
Potato,85.8312,19.8135
Potato,85.883,20.4625
Potato,84.0167,20.1342
Potato,86.4187,22.0087
Potato,86.9135,21.4934
Potato,83.9812,21.4669
Potato,82.7347,18.8561
Potato,77.8908,26.6966
Potato,77.503,27.2152
Potato,73.88,29.9094
Potato,75.8648,25.2138
Potato,72.8575,24.8852
Potato,76.161,24.5973
